model_id,model_type,estimand,outcome,treatment,instrument,estimate,std_error,confidence_low,confidence_high,p_value,first_stage_f,n_obs,n_countries,sample_name,fixed_effects,cluster_level,corpus_version,stance_version,run_id,git_commit,r_squared
rf_region_year_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.09791597063513131,0.08608416790759006,-0.2666409397340078,0.0708089984637452,0.25542015021615083,,4086,179,original_untruncated,"region,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.0307908974399963
rf_region_year_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.07095766645794749,0.06441436896557935,-0.197209829630483,0.055294496714588026,0.27067863525101926,,7654,179,validation_available,"region,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.030434053392266236
rf_country_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10413433644806702,0.055847020496079244,-0.21359449662038232,0.005325823724248294,0.0622713434524868,,7719,179,all_available,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.2157830629147397
rf_country_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10413433644806702,0.055847020496079244,-0.21359449662038232,0.005325823724248294,0.0622713434524868,,7719,179,verified_complete,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.2157830629147397
rf_country_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10303210093018625,0.08018289756077296,-0.26019058014930124,0.054126378288928745,0.19888121133770592,,4086,179,original_untruncated,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.20128438188737452
rf_country_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10546765874756843,0.055908207707535115,-0.21504774585433725,0.004112428359200393,0.059273986331484785,,7654,179,validation_available,iso3,iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.21467266300754229
rf_country_year_all_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.09961190933395064,0.05601847056265796,-0.20940811163676026,0.010184292968858963,0.07541197108684573,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23896005190031566
rf_country_year_verified_complete,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.09961190933395064,0.05601847056265796,-0.20940811163676026,0.010184292968858963,0.07541197108684573,,7719,179,verified_complete,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23896005190031566
rf_country_year_original_untruncated,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10891032301949763,0.08079493393143755,-0.2672683935251152,0.049447747486119964,0.17774253230961515,,4086,179,original_untruncated,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.22470997634197054
rf_country_year_validation_available,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10098213842613375,0.056053935687670316,-0.21084785237396758,0.008883575521700063,0.07166193022202412,,7654,179,validation_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.238273746658481
fs_controls,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.13552567032567756,0.23279393776236854,-0.5918017883399199,0.32075044768856475,0.5604762535680192,0.33892202683031464,5636,146,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6882070526324499
rf_controls,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.0775976951849893,0.06050228052165349,-0.19618216500743013,0.04098677463745154,0.19970159341391389,,5636,146,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.25952837242691473
fs_econ,first_stage,LATE_UNSC_compliers,log_econ_aid_real,unsc,unsc,-0.3056359572225461,0.23172695808682853,-0.75982079507273,0.14854888062763782,0.18722660989632944,1.7396255263709393,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6981676131620782
fs_mil,first_stage,LATE_UNSC_compliers,log_mil_aid_real,unsc,unsc,0.026534532113601544,0.271627554602247,-0.5058554749068026,0.5589245391340057,0.922183303236805,0.009542786786517177,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.5722595570142281
fs_lag1,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.12631132528471972,0.21462028084622423,-0.5469670757433192,0.29434442517387976,0.5561921225068741,0.34637223031076764,7540,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7041203990399384
fs_lag2,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.2968897754501737,0.2292626944854599,-0.7462446566416752,0.1524651057413277,0.19537029464209574,1.6769638391766395,7361,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7070203589165631
unsc_lead2,event_study,LATE_UNSC_compliers,stance,unsc,unsc,0.1317044821920339,0.05027103565322372,0.03317325231171542,0.23023571207235238,0.00881361135008706,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23923760823604423
unsc_lead1,event_study,LATE_UNSC_compliers,stance,unsc,unsc,0.0027609967643904935,0.048428105576577916,-0.09215809016570221,0.09768008369448321,0.9545369331862981,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.2385531377249699
unsc,event_study,LATE_UNSC_compliers,stance,unsc,unsc,-0.09961190933395064,0.05601847056265796,-0.20940811163676026,0.010184292968858963,0.07541197108684573,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23896005190031566
unsc_lag1,event_study,LATE_UNSC_compliers,stance,unsc,unsc,-0.0387474170643589,0.05284687892050877,-0.1423272997485561,0.0648324656198383,0.46345841887709593,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.2386132364763781
unsc_lag2,event_study,LATE_UNSC_compliers,stance,unsc,unsc,0.02654462475683658,0.051505882934667326,-0.07440690579511137,0.12749615530878453,0.6063091904937447,,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23858058868783782
fs_cold_war,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.07780362313275435,0.3730635541334218,-0.8090081892342611,0.6534009429687524,0.8348137570736573,0.04349446531009061,2713,157,cold_war,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7946078193241866
rf_cold_war,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.05820146217004399,0.10292410170375799,-0.2599327015094096,0.14352977716932167,0.571797776594551,,2713,157,cold_war,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.3354627584305103
fs_post_cold_war,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.0037286438474214423,0.2065921473351998,-0.40864925262441304,0.40119196492957016,0.9856010460497382,0.0003257423200830658,5006,179,post_cold_war,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.8041326846692494
rf_post_cold_war,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.1206730932978678,0.06455424592619892,-0.24719941531321768,0.00585322871748209,0.06163799114112705,,5006,179,post_cold_war,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.25047506700860045
fs_post_2001,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.12029076229165125,0.24801023600278102,-0.606390824857102,0.36580930027379954,0.6276918405096993,0.23524767660811963,3511,179,post_2001,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.8506118095943824
rf_post_2001,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.1252278547753396,0.0811341972488877,-0.28425088138315946,0.03379517183248029,0.12281334697805589,,3511,179,post_2001,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.258861446579154
fs_us_mention,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.14857269865538122,0.20599438980269819,-0.5523217026686696,0.25517630535790725,0.470782458373601,0.5201962756082462,7115,179,us_mention,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7010942046090727
rf_us_mention,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10267138570333421,0.061830732273018905,-0.22385962095845127,0.018516849551782844,0.09685471398005675,,7115,179,us_mention,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.18783182606242244
fs_verified,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.05751069478723375,0.20797865750997635,-0.4651488635067874,0.3501274739323199,0.7821547199148736,0.0764644708773738,7719,179,verified,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6964408363198947
rf_verified,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.09961190933395064,0.05601847056265796,-0.20940811163676026,0.010184292968858963,0.07541197108684573,,7719,179,verified,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.23896005190031566
fs_original,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,0.02742963913928409,0.2753821352581212,-0.5123193459666335,0.5671786242452017,0.9206625208610345,0.009921301830744881,4086,179,original,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.7895907720546258
rf_original,reduced_form,LATE_UNSC_compliers,stance,unsc,unsc,-0.10891032301949763,0.08079493393143755,-0.2672683935251152,0.049447747486119964,0.17774253230961515,,4086,179,original,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.22470997634197054
fs_length_ctrl,first_stage,LATE_UNSC_compliers,log_total_aid_real,unsc,unsc,-0.05751069478723375,0.20797865750997635,-0.4651488635067874,0.3501274739323199,0.7821547199148736,0.0764644708773738,7719,179,all_available,"iso3,year",iso3,data-restored-v1,stance-measure-v3.1,gate5-2026-07-30T02:04:05,ef641d0979b9ce1ac75af19fc5cc0657e39d238a,0.6964408363198947
